"","SamplingRound","Site","LeafName","IsoFlux","A","Ratio"
"1","Jun9-Jun30","HF","QURU1",0.223771397803169,4.65089740133898,0.0481135958274947
"2","Jun9-Jun30","HF","QURU2",0.167954716193235,3.66759544637288,0.0457942318472819
"3","Jun9-Jun30","HF","QURU3",0.391723572318355,2.28861187138983,0.171162081790858
"4","Jun9-Jun30","HF","QURU4",0.629448285474018,10.4879962413559,0.0600160670340439
"5","Jun9-Jun30","HF","QURU5",0.292106968277903,5.42969638779661,0.0537980298372522
"6","Jun9-Jun30","HF","QURU6",0.672191607935867,7.21846884811864,0.0931210790098596
"7","Jun9-Jun30","AA","QURU1",0.631789954961622,6.25654575225424,0.10098063372013
"8","Jun9-Jun30","AA","QURU2",0.483889219264205,6.71905950725424,0.0720174034389446
"9","Jun9-Jun30","AA","QURU3",0.408636649186022,4.23037347672881,0.0965958801117497
"10","Jun9-Jun30","AA","QURU4",NA,NA,NA
"11","Jun9-Jun30","AA","QURU5",0.415265660489022,7.28712766720339,0.0569861925650042
"12","Jun9-Jun30","AA","QURU6",0.242653977634418,8.82709749457627,0.027489667785307
"13","Jun9-Jun30","BRF","QURU1",0.211916866471987,6.9998801518983,0.0302743563994474
"14","Jun9-Jun30","BRF","QURU2",0.318956851832782,7.06185808232203,0.0451661373132417
"15","Jun9-Jun30","BRF","QURU3",0.668724881147873,9.71915933998305,0.0688048068516427
"16","Jun9-Jun30","BRF","QURU4",0.115319743656116,4.45053446459322,0.0259114370585279
"17","Jun9-Jun30","BRF","QURU5",NA,NA,NA
"18","Jun9-Jun30","BRF","QURU6",0.192730083344667,0.216872518169492,0.888679141882069
"19","Jun9-Jun30","NYBG","QURU1",0.893816673454996,10.1201234844746,0.0883207279858011
"20","Jun9-Jun30","NYBG","QURU2",0.702927904086766,13.7248257788136,0.0512157979572933
"21","Jun9-Jun30","NYBG","QURU3",0.842227019716722,6.1941140650339,0.135972152090504
"22","Jun9-Jun30","NYBG","QURU4",NA,NA,NA
"23","Jun9-Jun30","NYBG","QURU5",0.370335032664981,5.46041596528814,0.0678217621183442
"24","Jun9-Jun30","NYBG","QURU6",0.400303116554817,5.90387616171186,0.0678034405855062
